time,open,high,low,close,tick_volume,volume,body,range,body_ratio,upper_wick,lower_wick
2026-02-18 11:25:00,1.18513,1.18525,1.18513,1.18524,0.0,0.0,0.0001100000000000545,0.00011999999999989797,0.9166666666679002,9.999999999843467e-06,0.0
2026-02-18 11:30:00,1.18521,1.18532,1.18521,1.18524,0.0,0.0,2.999999999997449e-05,0.00010999999999983245,0.2727272727274562,7.999999999985796e-05,0.0
2026-02-18 11:35:00,1.18523,1.18525,1.18491,1.18497,0.0,0.0,0.00025999999999992696,0.00034000000000000696,0.7647058823527106,1.999999999990898e-05,6.000000000017103e-05
2026-02-18 11:40:00,1.18498,1.18505,1.18496,1.18499,0.0,0.0,1.0000000000065512e-05,8.999999999992347e-05,0.1111111111119335,5.999999999994898e-05,1.999999999990898e-05
2026-02-18 11:45:00,1.18498,1.18522,1.18498,1.18515,0.0,0.0,0.00017000000000000348,0.00024000000000001798,0.7083333333332947,7.00000000000145e-05,0.0
2026-02-18 11:50:00,1.18512,1.18521,1.18506,1.18506,0.0,0.0,5.999999999994898e-05,0.0001500000000000945,0.3999999999994079,9.000000000014552e-05,0.0
2026-02-18 11:55:00,1.18507,1.18508,1.18476,1.18476,0.0,0.0,0.00031000000000003247,0.00031999999999987594,0.9687500000004771,9.999999999843467e-06,0.0
2026-02-18 12:00:00,1.18476,1.18476,1.18455,1.18471,0.0,0.0,5.0000000000105516e-05,0.00021000000000004349,0.23809523809569125,0.0,0.00015999999999993797
2026-02-18 12:05:00,1.1847,1.18473,1.18459,1.18463,0.0,0.0,7.00000000000145e-05,0.000140000000000029,0.5,2.999999999997449e-05,4.0000000000040004e-05
2026-02-18 12:10:00,1.1846,1.18465,1.18446,1.18446,0.0,0.0,0.000140000000000029,0.00018999999999991246,0.73684210526365,4.999999999988347e-05,0.0
2026-02-18 12:15:00,1.18445,1.18448,1.18433,1.18445,0.0,0.0,0.0,0.00014999999999987246,0.0,2.999999999997449e-05,0.00011999999999989797
2026-02-18 12:20:00,1.18445,1.18446,1.18431,1.18437,0.0,0.0,8.000000000008001e-05,0.0001500000000000945,0.5333333333335307,1.0000000000065512e-05,5.999999999994898e-05
2026-02-18 12:25:00,1.18436,1.18451,1.18436,1.18447,0.0,0.0,0.00010999999999983245,0.00014999999999987246,0.7333333333328399,4.0000000000040004e-05,0.0
2026-02-18 12:30:00,1.18445,1.18456,1.18437,1.1845,0.0,0.0,5.0000000000105516e-05,0.0001900000000001345,0.26315789473721113,5.999999999994898e-05,8.000000000008001e-05
2026-02-18 12:35:00,1.1845,1.18451,1.18445,1.18446,0.0,0.0,4.0000000000040004e-05,5.999999999994898e-05,0.6666666666679002,9.999999999843467e-06,1.0000000000065512e-05
2026-02-18 12:40:00,1.18447,1.18461,1.18445,1.18461,0.0,0.0,0.000140000000000029,0.00015999999999993797,0.8750000000005205,0.0,1.999999999990898e-05
