time,open,high,low,close,tick_volume,volume,body,range,body_ratio,upper_wick,lower_wick
2026-02-27,1.17976,1.18263,1.17899,1.18192,0.0,0.0,0.002160000000000162,0.0036400000000000876,0.5934065934066236,0.0007099999999999884,0.0007699999999999374
2026-02-28,1.18194,1.18262,1.1805,1.18163,0.0,0.0,0.00031000000000003247,0.0021199999999998997,0.14622641509436185,0.0006800000000000139,0.0011299999999998533
2026-03-01,1.18164,1.18177,1.17502,1.17839,0.0,0.0,0.003249999999999975,0.006750000000000034,0.4814814814814754,0.00012999999999996348,0.003370000000000095
2026-03-02,1.1785,1.1797,1.16731,1.1712,0.0,0.0,0.007300000000000084,0.012389999999999901,0.5891848264729735,0.0011999999999998678,0.003889999999999949
2026-03-03,1.1712,1.1713,1.15316,1.16142,0.0,0.0,0.009780000000000122,0.018140000000000045,0.539140022050722,9.999999999998899e-05,0.008259999999999934
2026-03-04,1.16141,1.16542,1.15767,1.16402,0.0,0.0,0.002610000000000001,0.007749999999999924,0.33677419354839055,0.0013999999999998458,0.0037400000000000766
2026-03-05,1.16403,1.16469,1.1561,1.1572,0.0,0.0,0.006829999999999892,0.008590000000000098,0.7951105937135988,0.000660000000000105,0.001100000000000101
2026-03-06,1.15722,1.16213,1.1547,1.16032,0.0,0.0,0.0031000000000001027,0.007430000000000048,0.417227456258423,0.0018100000000000893,0.0025199999999998557
2026-03-07,1.16031,1.1624,1.15969,1.1619,0.0,0.0,0.0015899999999999803,0.00270999999999999,0.5867158671586664,0.000500000000000167,0.0006199999999998429
2026-03-08,1.16191,1.16214,1.15514,1.15694,0.0,0.0,0.004969999999999919,0.006999999999999895,0.7099999999999991,0.00022999999999995246,0.0018000000000000238
2026-03-09,1.15678,1.16302,1.15085,1.16109,0.0,0.0,0.004310000000000036,0.012170000000000014,0.3541495480690247,0.0019299999999999873,0.005929999999999991
2026-03-10,1.16111,1.16684,1.16079,1.16146,0.0,0.0,0.00034999999999985043,0.006050000000000111,0.057851239669395704,0.005380000000000162,0.000320000000000098
2026-03-11,1.16145,1.16426,1.15637,1.15735,0.0,0.0,0.0040999999999999925,0.007890000000000175,0.5196451204055642,0.002809999999999979,0.000980000000000203
2026-03-12,1.15734,1.15754,1.15113,1.15159,0.0,0.0,0.005750000000000144,0.006410000000000027,0.8970358814352761,0.00019999999999997797,0.00045999999999990493
2026-03-13,1.15157,1.15292,1.14206,1.14224,0.0,0.0,0.00933000000000006,0.01085999999999987,0.8591160220994634,0.0013499999999999623,0.00017999999999984695
2026-03-14,1.14223,1.14722,1.14113,1.1455,0.0,0.0,0.003269999999999884,0.006089999999999929,0.536945812807869,0.0017199999999999438,0.001100000000000101
2026-03-15,1.14551,1.14707,1.13515,1.14237,0.0,0.0,0.0031399999999999206,0.01191999999999993,0.2634228187919412,0.0015600000000000058,0.007220000000000004
2026-03-16,1.14234,1.15237,1.14146,1.15071,0.0,0.0,0.008369999999999989,0.010909999999999975,0.7671860678276817,0.0016599999999999948,0.0008799999999999919
2026-03-17,1.15074,1.15475,1.1468,1.15348,0.0,0.0,0.0027399999999999647,0.007949999999999902,0.3446540880503143,0.0012699999999998823,0.003940000000000055
2026-03-18,1.1535,1.1554,1.14693,1.14696,0.0,0.0,0.00653999999999999,0.008469999999999978,0.7721369539551367,0.0019000000000000128,2.999999999997449e-05
2026-03-19,1.14695,1.16164,1.14437,1.15802,0.0,0.0,0.011070000000000135,0.017269999999999897,0.6409959467284425,0.0036199999999999566,0.0025799999999998047
2026-03-20,1.158,1.15975,1.15736,1.15741,0.0,0.0,0.0005899999999998684,0.0023900000000001143,0.2468619246861256,0.0017500000000001403,5.0000000000105516e-05
