time,open,high,low,close,tick_volume,volume,body,range,body_ratio,upper_wick,lower_wick
2026-02-18 12:00:00,1.18476,1.18476,1.18431,1.18468,0.0,0.0,8.000000000008001e-05,0.00045000000000006146,0.1777777777779313,0.0,0.00036999999999998145
2026-02-18 13:00:00,1.18467,1.18479,1.18417,1.18453,0.0,0.0,0.00013999999999980695,0.0006200000000000649,0.22580645161256818,0.00012000000000012001,0.000360000000000138
2026-02-18 14:00:00,1.18453,1.1847,1.18417,1.18419,0.0,0.0,0.00034000000000000696,0.0005300000000001415,0.641509433962106,0.00017000000000000348,2.0000000000131024e-05
2026-02-18 15:00:00,1.18419,1.18441,1.18399,1.18421,0.0,0.0,1.999999999990898e-05,0.0004199999999998649,0.047619047618846215,0.00019999999999997797,0.00019999999999997797
2026-02-18 16:00:00,1.18421,1.18462,1.1842,1.18461,0.0,0.0,0.00039999999999995595,0.00042000000000008697,0.9523809523806502,1.0000000000065512e-05,1.0000000000065512e-05
2026-02-18 17:00:00,1.18461,1.18469,1.18405,1.18458,0.0,0.0,2.999999999997449e-05,0.0006399999999999739,0.04687499999996205,8.000000000008001e-05,0.0005299999999999194
2026-02-18 18:00:00,1.18456,1.1847,1.18338,1.1835,0.0,0.0,0.001060000000000061,0.0013199999999999878,0.8030303030303566,0.000140000000000029,0.00011999999999989797
2026-02-18 19:00:00,1.18348,1.18378,1.18293,1.18319,0.0,0.0,0.0002900000000001235,0.0008500000000000174,0.3411764705883736,0.00029999999999996696,0.00025999999999992696
2026-02-18 20:00:00,1.18317,1.18383,1.183,1.18368,0.0,0.0,0.0005100000000000104,0.0008299999999998864,0.6144578313253979,0.00014999999999987246,0.00017000000000000348
2026-02-18 21:00:00,1.18366,1.18411,1.18304,1.18323,0.0,0.0,0.00042999999999993044,0.0010699999999999044,0.4018691588784756,0.00045000000000006146,0.00018999999999991246
2026-02-18 22:00:00,1.1832,1.18378,1.18309,1.1835,0.0,0.0,0.00029999999999996696,0.0006900000000000794,0.43478260869555424,0.000280000000000058,0.0001100000000000545
2026-02-18 23:00:00,1.18346,1.18468,1.18345,1.18411,0.0,0.0,0.0006500000000000394,0.0012300000000000644,0.52845528455285,0.0005699999999999594,1.0000000000065512e-05
2026-02-19 00:00:00,1.18408,1.1849,1.18249,1.18249,0.0,0.0,0.0015899999999999803,0.0024100000000000232,0.6597510373443838,0.0008200000000000429,0.0
2026-02-19 01:00:00,1.18247,1.18276,1.18136,1.18154,0.0,0.0,0.0009299999999998754,0.0014000000000000679,0.664285714285593,0.0002900000000001235,0.000180000000000069
